agency_id;line_id;line_name;logoPath;type;isPriority;isNight
"fr-twisto";"T1";"T1";"https://hexatransit.fr/assets/logo/fr-twisto/tram/T1.png";"tram";"0";"0"
"fr-twisto";"T2";"T2";"https://hexatransit.fr/assets/logo/fr-twisto/tram/T2.png";"tram";"0";"0"
"fr-twisto";"T3";"T3";"https://hexatransit.fr/assets/logo/fr-twisto/tram/T3.png";"tram";"0";"0"
"fr-twisto";"NVCV";"Navette Caen";"https://hexatransit.fr/assets/logo/fr-twisto/bus/NVCV.png";"bus";"0";"0"
"fr-twisto";"1";"1";"https://hexatransit.fr/assets/logo/fr-twisto/bus/1.png";"bus";"1";"0"
"fr-twisto";"2";"2";"https://hexatransit.fr/assets/logo/fr-twisto/bus/2.png";"bus";"1";"0"
"fr-twisto";"3";"3";"https://hexatransit.fr/assets/logo/fr-twisto/bus/3.png";"bus";"1";"0"
"fr-twisto";"4";"4";"https://hexatransit.fr/assets/logo/fr-twisto/bus/4.png";"bus";"1";"0"
"fr-twisto";"5";"5";"https://hexatransit.fr/assets/logo/fr-twisto/bus/5.png";"bus";"1";"0"
"fr-twisto";"6A";"6A";"https://hexatransit.fr/assets/logo/fr-twisto/bus/6A.png";"bus";"1";"0"
"fr-twisto";"6B";"6B";"https://hexatransit.fr/assets/logo/fr-twisto/bus/6B.png";"bus";"1";"0"
"fr-twisto";"7";"7";"https://hexatransit.fr/assets/logo/fr-twisto/bus/7.png";"bus";"1";"0"
"fr-twisto";"8";"8";"https://hexatransit.fr/assets/logo/fr-twisto/bus/8.png";"bus";"1";"0"
"fr-twisto";"9";"9";"https://hexatransit.fr/assets/logo/fr-twisto/bus/9.png";"bus";"1";"0"
"fr-twisto";"10";"10";"https://hexatransit.fr/assets/logo/fr-twisto/bus/10.png";"bus";"1";"0"
"fr-twisto";"10EX";"10 Express";"https://hexatransit.fr/assets/logo/fr-twisto/bus/10EX.png";"bus";"1";"0"
"fr-twisto";"11";"11";"https://hexatransit.fr/assets/logo/fr-twisto/bus/11.png";"bus";"1";"0"
"fr-twisto";"11EX";"11 Express";"https://hexatransit.fr/assets/logo/fr-twisto/bus/11EX.png";"bus";"1";"0"
"fr-twisto";"12";"12";"https://hexatransit.fr/assets/logo/fr-twisto/bus/12.png";"bus";"1";"0"
"fr-twisto";"20";"20";"https://hexatransit.fr/assets/logo/fr-twisto/bus/20.png";"bus";"1";"0"
"fr-twisto";"21";"21";"https://hexatransit.fr/assets/logo/fr-twisto/bus/21.png";"bus";"1";"0"
"fr-twisto";"22";"22";"https://hexatransit.fr/assets/logo/fr-twisto/bus/22.png";"bus";"1";"0"
"fr-twisto";"23";"23";"https://hexatransit.fr/assets/logo/fr-twisto/bus/23.png";"bus";"1";"0"
"fr-twisto";"30";"30";"https://hexatransit.fr/assets/logo/fr-twisto/bus/30.png";"bus";"1";"0"
"fr-twisto";"31";"31";"https://hexatransit.fr/assets/logo/fr-twisto/bus/31.png";"bus";"1";"0"
"fr-twisto";"32";"32";"https://hexatransit.fr/assets/logo/fr-twisto/bus/32.png";"bus";"1";"0"
"fr-twisto";"34";"34";"https://hexatransit.fr/assets/logo/fr-twisto/bus/34.png";"bus";"1";"0"
"fr-twisto";"40";"40";"https://hexatransit.fr/assets/logo/fr-twisto/bus/40.png";"bus";"1";"0"
"fr-twisto";"42";"42";"https://hexatransit.fr/assets/logo/fr-twisto/bus/42.png";"bus";"1";"0"
"fr-twisto";"NUIT";"Noctibus";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Noctibus.png";"bus";"0";"0"
"fr-twisto";"100";"100";"https://hexatransit.fr/assets/logo/fr-twisto/bus/100.png";"bus";"0";"0"
"fr-twisto";"101";"101";"https://hexatransit.fr/assets/logo/fr-twisto/bus/101.png";"bus";"0";"0"
"fr-twisto";"102";"102";"https://hexatransit.fr/assets/logo/fr-twisto/bus/102.png";"bus";"0";"0"
"fr-twisto";"103";"103";"https://hexatransit.fr/assets/logo/fr-twisto/bus/103.png";"bus";"0";"0"
"fr-twisto";"104";"104";"https://hexatransit.fr/assets/logo/fr-twisto/bus/104.png";"bus";"0";"0"
"fr-twisto";"107";"107";"https://hexatransit.fr/assets/logo/fr-twisto/bus/107.png";"bus";"0";"0"
"fr-twisto";"109";"109";"https://hexatransit.fr/assets/logo/fr-twisto/bus/109.png";"bus";"0";"0"
"fr-twisto";"110";"110";"https://hexatransit.fr/assets/logo/fr-twisto/bus/110.png";"bus";"0";"0"
"fr-twisto";"111";"111";"https://hexatransit.fr/assets/logo/fr-twisto/bus/111.png";"bus";"0";"0"
"fr-twisto";"112";"112";"https://hexatransit.fr/assets/logo/fr-twisto/bus/112.png";"bus";"0";"0"
"fr-twisto";"113";"113";"https://hexatransit.fr/assets/logo/fr-twisto/bus/113.png";"bus";"0";"0"
"fr-twisto";"114";"114";"https://hexatransit.fr/assets/logo/fr-twisto/bus/114.png";"bus";"0";"0"
"fr-twisto";"115";"115";"https://hexatransit.fr/assets/logo/fr-twisto/bus/115.png";"bus";"0";"0"
"fr-twisto";"116";"116";"https://hexatransit.fr/assets/logo/fr-twisto/bus/116.png";"bus";"0";"0"
"fr-twisto";"118";"118";"https://hexatransit.fr/assets/logo/fr-twisto/bus/118.png";"bus";"0";"0"
"fr-twisto";"119";"119";"https://hexatransit.fr/assets/logo/fr-twisto/bus/119.png";"bus";"0";"0"
"fr-twisto";"120";"120";"https://hexatransit.fr/assets/logo/fr-twisto/bus/120.png";"bus";"0";"0"
"fr-twisto";"121";"121";"https://hexatransit.fr/assets/logo/fr-twisto/bus/121.png";"bus";"0";"0"
"fr-twisto";"122";"122";"https://hexatransit.fr/assets/logo/fr-twisto/bus/122.png";"bus";"0";"0"
"fr-twisto";"123";"123";"https://hexatransit.fr/assets/logo/fr-twisto/bus/123.png";"bus";"0";"0"
"fr-twisto";"124";"124";"https://hexatransit.fr/assets/logo/fr-twisto/bus/124.png";"bus";"0";"0"
"fr-twisto";"125";"125";"https://hexatransit.fr/assets/logo/fr-twisto/bus/125.png";"bus";"0";"0"
"fr-twisto";"126";"126";"https://hexatransit.fr/assets/logo/fr-twisto/bus/126.png";"bus";"0";"0"
"fr-twisto";"127";"127";"https://hexatransit.fr/assets/logo/fr-twisto/bus/127.png";"bus";"0";"0"
"fr-twisto";"128";"128";"https://hexatransit.fr/assets/logo/fr-twisto/bus/128.png";"bus";"0";"0"
"fr-twisto";"130";"130";"https://hexatransit.fr/assets/logo/fr-twisto/bus/130.png";"bus";"0";"0"
"fr-twisto";"131";"131";"https://hexatransit.fr/assets/logo/fr-twisto/bus/131.png";"bus";"0";"0"
"fr-twisto";"133";"133";"https://hexatransit.fr/assets/logo/fr-twisto/bus/133.png";"bus";"0";"0"
"fr-twisto";"134";"134";"https://hexatransit.fr/assets/logo/fr-twisto/bus/134.png";"bus";"0";"0"
"fr-twisto";"135";"135";"https://hexatransit.fr/assets/logo/fr-twisto/bus/135.png";"bus";"0";"0"
"fr-twisto";"136";"136";"https://hexatransit.fr/assets/logo/fr-twisto/bus/136.png";"bus";"0";"0"
"fr-twisto";"137";"137";"https://hexatransit.fr/assets/logo/fr-twisto/bus/137.png";"bus";"0";"0"
"fr-twisto";"137A";"137A";"https://hexatransit.fr/assets/logo/fr-twisto/bus/137A.png";"bus";"0";"0"
"fr-twisto";"137B";"137B";"https://hexatransit.fr/assets/logo/fr-twisto/bus/137B.png";"bus";"0";"0"
"fr-twisto";"138";"138";"https://hexatransit.fr/assets/logo/fr-twisto/bus/138.png";"bus";"0";"0"
"fr-twisto";"138C";"138C";"https://hexatransit.fr/assets/logo/fr-twisto/bus/138C.png";"bus";"0";"0"
"fr-twisto";"138D";"138D";"https://hexatransit.fr/assets/logo/fr-twisto/bus/138D.png";"bus";"0";"0"
"fr-twisto";"1004440";"Nomad 101";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad101.png";"bus";"0";"0"
"fr-twisto";"1004441";"Nomad 102";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad102.png";"bus";"0";"0"
"fr-twisto";"1004442";"Nomad 103";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad103.png";"bus";"0";"0"
"fr-twisto";"1004444";"Nomad 104";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad104.png";"bus";"0";"0"
"fr-twisto";"1004445";"Nomad 105";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad105.png";"bus";"0";"0"
"fr-twisto";"1004447";"Nomad 107";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad107.png";"bus";"0";"0"
"fr-twisto";"1004448";"Nomad 108";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad108.png";"bus";"0";"0"
"fr-twisto";"1004450";"Nomad 109";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad109.png";"bus";"0";"0"
"fr-twisto";"1004451";"Nomad 111A";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad111.png";"bus";"0";"0"
"fr-twisto";"1004454";"Nomad 114";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad114.png";"bus";"0";"0"
"fr-twisto";"1004477";"Nomad 115";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad115.png";"bus";"0";"0"
"fr-twisto";"1004455";"Nomad 116";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad116.png";"bus";"0";"0"
"fr-twisto";"1004456";"Nomad 117";"https://hexatransit.fr/assets/logo/fr-twisto/bus/Nomad117.png";"bus";"0";
